date,predicted_text
2019-04-04,3
2019-04-05,3139
2019-04-06,284
2019-04-07,62
2019-04-08,119
2019-04-09,280
2019-04-10,201
2019-04-11,89
2019-04-12,202
2019-04-13,127
2019-04-14,67
2019-04-15,153
2019-04-16,103
2019-04-17,28
2019-04-18,101
2019-04-19,107
2019-04-20,62
2019-04-21,184
2019-04-22,143
2019-04-23,139
2019-04-24,130
2019-04-25,105
2019-04-26,180
2019-04-27,115
2019-04-28,63
2019-04-29,147
2019-04-30,140
2019-05-01,124
2019-05-02,103
2019-05-03,106
2019-05-04,126
2019-05-05,77
2019-05-06,114
2019-05-07,154
2019-05-08,175
2019-05-09,106
2019-05-10,67
2019-05-11,81
2019-05-12,39
2019-05-13,124
2019-05-14,58
2019-05-15,100
2019-05-16,75
2019-05-17,71
2019-05-18,52
2019-05-19,62
2019-05-20,99
2019-05-21,77
2019-05-22,52
2019-05-23,87
2019-05-24,89
2019-05-25,87
2019-05-26,57
2019-05-27,123
2019-05-28,171
2019-05-29,112
2019-05-30,125
2019-05-31,189
2019-06-01,237
2019-06-02,185
2019-06-03,147
2019-06-04,77
2019-06-05,90
2019-06-06,87
2019-06-07,121
2019-06-08,165
2019-06-09,135
2019-06-10,113
2019-06-11,116
2019-06-12,134
2019-06-13,129
2019-06-14,95
2019-06-15,142
2019-06-16,93
2019-06-17,893
2019-06-18,337
2019-06-19,239
2019-06-20,114
2019-06-21,123
2019-06-22,117
2019-06-23,162
2019-06-24,121
2019-06-25,100
2019-06-26,93
2019-06-27,95
2019-06-28,147
2019-06-29,114
2019-06-30,74
2019-07-01,104
2019-07-02,127
2019-07-03,92
2019-07-04,108
2019-07-05,161
2019-07-06,94
2019-07-07,54
2019-07-08,133
2019-07-09,108
2019-07-10,84
2019-07-11,113
2019-07-12,119
2019-07-13,86
2019-07-14,84
2019-07-15,93
2019-07-16,124
2019-07-17,100
2019-07-18,105
2019-07-19,70
2019-07-20,155
2019-07-21,210
2019-07-22,106
2019-07-23,31
2019-07-24,100
2019-07-25,94
2019-07-26,108
2019-07-27,106
2019-07-28,123
2019-07-29,121
2019-07-30,82
2019-07-31,108
2019-08-01,269
2019-08-02,162
2019-08-03,89
2019-08-04,104
2019-08-05,107
2019-08-06,102
2019-08-07,82
2019-08-08,99
2019-08-09,84
2019-08-10,120
2019-08-11,42
2019-08-12,104
2019-08-13,82
2019-08-14,100
2019-08-15,72
2019-08-16,71
2019-08-17,55
2019-08-18,50
2019-08-19,66
2019-08-20,88
2019-08-21,105
2019-08-22,103
2019-08-23,187
2019-08-24,93
2019-08-25,87
2019-08-26,130
2019-08-27,107
2019-08-28,91
2019-08-29,72
2019-08-30,89
2019-08-31,82
2019-09-01,94
2019-09-02,1724
2019-09-03,1212
2019-09-04,600
2019-09-05,296
